,inn,dadata_lon,dadata_lat,workers_count,predicted_workers_count,combined_workers_count,line_2110,geometry
0,7456005054,44.732217,48.809207,,4.113917232338837,4.113917232338837,,POINT (44.732217 48.809207)
1,3460005243,44.480225963966205,48.6982654,,23.69261486047659,23.69261486047659,,POINT (44.480225963966205 48.6982654)
2,3458000657,46.1094392,48.06134735,,4.512512576475039,4.512512576475039,49252.0,POINT (46.1094392 48.06134735)
3,3448057975,44.57167483490173,48.52062325,,0.8227635208168369,0.8227635208168369,1048.0,POINT (44.57167483490173 48.52062325)
4,3447025681,44.42021302842682,48.59157555,,35.95470460958367,35.95470460958367,,POINT (44.42021302842682 48.59157555)
5,3447003582,44.418295,48.6019251,,0.0,0.0,1104.0,POINT (44.418295 48.6019251)
6,3445127381,44.46806185,48.6717918,,10.72810192939706,10.72810192939706,,POINT (44.46806185 48.6717918)
7,3445116439,44.4966366,48.6967676,,1.4799552544166144,1.4799552544166144,7585.0,POINT (44.4966366 48.6967676)
8,3445029507,44.43686105943156,48.6582878,,8.95651802842308,8.95651802842308,135065.0,POINT (44.43686105943156 48.6582878)
9,3444199312,44.5201073,48.701498,,4.076278915281081,4.076278915281081,61410.0,POINT (44.5201073 48.701498)
10,3444154294,44.534106,48.721097,,6.426246687796795,6.426246687796795,32715.0,POINT (44.534106 48.721097)
11,3444068824,44.537925,48.7296446,,7.138590781471527,7.138590781471527,,POINT (44.537925 48.7296446)
12,3442123540,44.54409053947012,48.7767764,,0.7950735122363444,0.7950735122363444,970.0,POINT (44.54409053947012 48.7767764)
13,3442122201,44.55765835,48.771318199999996,,2.9225380298987567,2.9225380298987567,8137.0,POINT (44.55765835 48.771318199999996)
14,3442120613,44.5691205,48.7803282,,2.2576629568873567,2.2576629568873567,5833.0,POINT (44.5691205 48.7803282)
15,3442113172,44.5628614,48.7845357,,21.95463641824979,21.95463641824979,,POINT (44.5628614 48.7845357)
16,3441007894,44.59635,48.801938,,6.7152608311279876,6.7152608311279876,,POINT (44.59635 48.801938)
17,3435450610,44.811597965534126,48.767747,,43.87854179104012,43.87854179104012,,POINT (44.811597965534126 48.767747)
18,3435440517,44.7540647,48.7834348,,41.78447796384785,41.78447796384785,,POINT (44.7540647 48.7834348)
19,3428982068,44.75704039465134,48.79006115,,22.675578039539708,22.675578039539708,,POINT (44.75704039465134 48.79006115)
20,3025009280,48.0463787,46.3301332,,1.4210359736083316,1.4210359736083316,1639.0,POINT (48.0463787 46.3301332)
21,3023000228,48.0128852,46.3440429,,61.45211250699473,61.45211250699473,164495.0,POINT (48.0128852 46.3440429)
22,3022002600,47.986477,46.337443,,0.9061273412364237,0.9061273412364237,338.0,POINT (47.986477 46.337443)
23,3019011072,48.0132109,46.2490401,,19.746236965893424,19.746236965893424,,POINT (48.0132109 46.2490401)
24,3019005632,48.076365,46.369937,,26.696595993764376,26.696595993764376,,POINT (48.076365 46.369937)
25,2634804220,44.1884321,45.3676395,,8.466815387286918,8.466815387286918,296184.0,POINT (44.1884321 45.3676395)
26,0814162360,44.27582986899217,46.30792395,,15.964408811642624,15.964408811642624,,POINT (44.27582986899217 46.30792395)
27,0814143199,44.25693,46.3381635,,5.045181961687383,5.045181961687383,12964.0,POINT (44.25693 46.3381635)
28,0813900551,46.2240652,46.5866486,,2.517581244895112,2.517581244895112,5022.0,POINT (46.2240652 46.5866486)
29,7727817140,48.0281787,46.3530992,,4.8762453653525135,4.8762453653525135,3696.0,POINT (48.0281787 46.3530992)
30,3461005790,44.425787,48.597253,,6.823565913123619,6.823565913123619,,POINT (44.425787 48.597253)
31,3460056470,44.510072,48.6987426,,0.1360672820273212,0.1360672820273212,,POINT (44.510072 48.6987426)
32,3455051413,44.4950809,48.8096333,,0.574004298073346,0.574004298073346,338.0,POINT (44.4950809 48.8096333)
33,3455000874,44.5039285,48.7179057,,1.2097700481911762,1.2097700481911762,438.0,POINT (44.5039285 48.7179057)
34,3448020333,44.5658197,48.515626,,46.65417979851856,46.65417979851856,,POINT (44.5658197 48.515626)
35,3447025850,44.466085,48.5511221,,67.40103581823158,67.40103581823158,452365.0,POINT (44.466085 48.5511221)
36,3446500870,44.4326064,48.6614308,,46.65417979851856,46.65417979851856,,POINT (44.4326064 48.6614308)
37,3446044667,44.471184,48.673885,,2.4967813821806413,2.4967813821806413,7013.0,POINT (44.471184 48.673885)
38,3446034154,44.46806185,48.6717918,,1.3247124038520948,1.3247124038520948,2692.0,POINT (44.46806185 48.6717918)
39,3446024565,44.46806185,48.6717918,,10.612123405735195,10.612123405735195,,POINT (44.46806185 48.6717918)
40,3445119253,44.5009522,48.7022613,,23.964327479137765,23.964327479137765,88524.0,POINT (44.5009522 48.7022613)
41,3445107963,44.48587307815025,48.77833,,5.7169913739814175,5.7169913739814175,17427.0,POINT (44.48587307815025 48.77833)
42,3445100252,44.45234852395555,48.684599750000004,,5.768904466356844,5.768904466356844,36571.0,POINT (44.45234852395555 48.684599750000004)
43,3445075736,44.45234852395555,48.684599750000004,,6.953987103703214,6.953987103703214,40813.0,POINT (44.45234852395555 48.684599750000004)
44,3445046823,44.49187442586843,48.69471995,,33.34546524090854,33.34546524090854,1367.0,POINT (44.49187442586843 48.69471995)
45,3445042184,44.5009522,48.7022613,,1.5521637267013464,1.5521637267013464,84.0,POINT (44.5009522 48.7022613)
46,3444211538,44.533009,48.721109,,1.9364732679186591,1.9364732679186591,275.0,POINT (44.533009 48.721109)
47,3444209666,44.52610032551141,48.72619815,,3.032347692539746,3.032347692539746,1150.0,POINT (44.52610032551141 48.72619815)
48,3444203745,44.53063247606118,48.72008955,,6.657465120368771,6.657465120368771,22929.0,POINT (44.53063247606118 48.72008955)
49,3444198277,44.535669,48.714701,,0.0,0.0,3368.0,POINT (44.535669 48.714701)
50,3444194667,44.525161738051025,48.7101028,,0.8587385404574555,0.8587385404574555,,POINT (44.525161738051025 48.7101028)
51,3444181467,44.533009,48.721109,,9.92287124756966,9.92287124756966,,POINT (44.533009 48.721109)
52,3444154103,44.51480475568406,48.7013431,,32.591872010790695,32.591872010790695,,POINT (44.51480475568406 48.7013431)
53,3444103740,44.51984081690856,48.7135406,,20.181130408665545,20.181130408665545,,POINT (44.51984081690856 48.7135406)
